,ID,제품,대분류,중분류,소분류,브랜드,price(mean)
0,0,B002-00001-00001,B002-C001-0002,B002-C002-0007,B002-C003-0038,B002-00001,5870.909090909091
1,1,B002-00002-00001,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,23919.475982532756
2,2,B002-00002-00002,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,12058.59899328859
3,3,B002-00002-00003,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,4010.9195402298847
4,4,B002-00003-00001,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,4966.679652909106
5,5,B002-00003-00002,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,8311.268085106383
6,6,B002-00003-00003,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,7339.268136695865
7,7,B002-00003-00004,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,12113.775857147672
8,8,B002-00003-00005,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,4733.333333333333
9,9,B002-00003-00006,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,16625.212559039446
10,10,B002-00003-00007,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,21817.72547560691
11,11,B002-00003-00008,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,3885.714285714286
12,12,B002-00003-00009,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,64068.628633271495
13,13,B002-00003-00011,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,11844.380478530478
14,14,B002-00003-00014,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.0
15,15,B002-00003-00015,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.0
16,16,B002-00005-00001,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,2800.0
17,17,B002-00005-00002,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,2610.5655946365123
18,18,B002-00005-00003,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,5369.540960508901
19,19,B002-00005-00004,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,3926.172869147659
20,20,B002-00005-00005,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00005,2622.1144973544974
